id,area,feature,user_story,expected_behavior,paths,test_method,status,last_result,issues,fixed_in,retest_status
GLOBAL-HOME,Global navigation,homepage,"As a visitor, I want the homepage page/feature to load and explain the next useful Stanley Systems step.","/ returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems, AI Office, Blueprint",/,HTTP/DOM/link smoke + Playwright browser interaction/screenshot + Playwright browser interaction/screenshot,Pass,code=200 final=https://stanley-systems.com/ title=Stanley Systems | AI Office Map links=44 inputs=0 | Browser interaction smoke passed after clean rebuild,,Clean .next rebuild resolved stale not-found chunk 400 during browser QA,Pass
GLOBAL-HEADER,Global navigation,header nav,"As a visitor, I want the header nav page/feature to load and explain the next useful Stanley Systems step.","/ returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: AI Office Map, Pricing, Contact",/,HTTP/DOM/link smoke + Playwright browser interaction/screenshot + Playwright browser interaction/screenshot,Pass,code=200 final=https://stanley-systems.com/ title=Stanley Systems | AI Office Map links=44 inputs=0 | Browser interaction smoke passed after clean rebuild,,Clean .next rebuild resolved stale not-found chunk 400 during browser QA,Pass
GLOBAL-FOOTER,Global navigation,footer links,"As a visitor, I want the footer links page/feature to load and explain the next useful Stanley Systems step.","/ returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Privacy, Terms",/,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/ title=Stanley Systems | AI Office Map links=44 inputs=0,,,Pass
GLOBAL-MOBILE,Responsive UX,mobile header/menu,"As a visitor, I want the mobile header/menu page/feature to load and explain the next useful Stanley Systems step.","/ returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems",/,HTTP/DOM/link smoke + Playwright browser interaction/screenshot + Playwright browser interaction/screenshot,Pass,code=200 final=https://stanley-systems.com/ title=Stanley Systems | AI Office Map links=44 inputs=0 | Browser interaction smoke passed after clean rebuild,,Clean .next rebuild resolved stale not-found chunk 400 during browser QA,Pass
SEO-SITEMAP,SEO/crawlers,sitemap.xml,"As a visitor, I want the sitemap.xml page/feature to load and explain the next useful Stanley Systems step.","/sitemap.xml returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: stanley-systems.com",/sitemap.xml,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/sitemap.xml title= links=0 inputs=0,,,Pass
SEO-ROBOTS,SEO/crawlers,robots.txt,"As a visitor, I want the robots.txt page/feature to load and explain the next useful Stanley Systems step.","/robots.txt returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Sitemap",/robots.txt,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/robots.txt title= links=0 inputs=0,,,Pass
SEO-LLMS,AI crawler guidance,llms.txt,"As a visitor, I want the llms.txt page/feature to load and explain the next useful Stanley Systems step.","/llms.txt returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems is not Standley Systems, AI Office Map",/llms.txt,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/llms.txt title= links=0 inputs=0,,,Pass
SEO-LLMS-FULL,AI crawler guidance,llms-full.txt,"As a visitor, I want the llms-full.txt page/feature to load and explain the next useful Stanley Systems step.","/llms-full.txt returns 200; page has Stanley Systems branding, no broken primary content, and expected cues: Stanley Systems is not Standley Systems, AI Office Map",/llms-full.txt,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/llms-full.txt title= links=0 inputs=0,,,Pass
REDIRECT-ASSESSMENT,Redirects,old assessment route redirect,"As a visitor, I want the old assessment route redirect page/feature to load and explain the next useful Stanley Systems step.","/how-the-assessment-works returns 308; page has Stanley Systems branding, no broken primary content, and expected cues: ",/how-the-assessment-works,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/ai-office-map title=Stanley Systems | AI Office Map links=40 inputs=7,,,Pass
REDIRECT-WORKFLOW-AUDIT,Redirects,old workflow audit route redirect,"As a visitor, I want the old workflow audit route redirect page/feature to load and explain the next useful Stanley Systems step.","/workflow-audit returns 308; page has Stanley Systems branding, no broken primary content, and expected cues: ",/workflow-audit,HTTP/DOM/link smoke,Pass,code=200 final=https://stanley-systems.com/ai-office-map title=Stanley Systems | AI Office Map links=40 inputs=7,,,Pass
